"player_name","player_points","player_team_abbreviation"
"Dorian Finney-Smith",2,"DAL"
"Harrison Barnes",4,"DAL"
"J.J. Barea",8,"DAL"
"Wesley Matthews",3,"DAL"
"Andrew Harrison",1,"MEM"
"JaMychal Green",4,"MEM"
"JaMychal Green",2,"MEM"
"James Ennis III",2,"MEM"
"Marc Gasol",11,"MEM"
"Marc Gasol",3,"MEM"
"Marc Gasol",2,"MEM"
"Mike Conley",11,"MEM"
"Mike Conley",7,"MEM"
"Mike Conley",4,"MEM"
"Vince Carter",2,"MEM"
"Dion Waiters",2,"MIA"
"Goran Dragic",6,"MIA"
"Hassan Whiteside",2,"MIA"
"Justise Winslow",2,"MIA"
"Tyler Johnson",7,"MIA"
"Evan Fournier",2,"ORL"
"Serge Ibaka",4,"ORL"
"Brandon Knight",2,"PHX"
"Devin Booker",12,"PHX"
"Devin Booker",6,"PHX"
"Eric Bledsoe",9,"PHX"
"Eric Bledsoe",5,"PHX"
"PJ Tucker",1,"PHX"
"TJ Warren",7,"PHX"
"TJ Warren",2,"PHX"
"Tyson Chandler",2,"PHX"
"Al-Farouq Aminu",1,"POR"
"CJ McCollum",12,"POR"
"Damian Lillard",7,"POR"
"Mason Plumlee",4,"POR"
"Maurice Harkless",1,"POR"
